title,percentage of dislike
"林智堅嗆朱立倫：大新竹合併升格沒過 你
",80.0
"只有我覺得瑞莎可能真的有問題嗎
",97.0
"館長感嘆「民進黨挺不下去」：成績單都偏財團 人民都無感
",71.0
"雞排妹拒黑道大哥搭訕　驚曝「被拖下車
",67.0
"瑞莎遭家長控斂財！旗下8選手「集體解約
",86.0
"一家四口被酒駕撞飛影片曝光
",71.0
"林智堅不選早已超前部署 柯建銘：我要讓
",74.0
"「敬佩支持林智堅棄選」　民進黨：遺憾在
",81.0
"打炒房 林智堅宣布推動囤房稅：擁3戶以上
",77.0
"力挺優質立委林昶佐 全台青政治串聯「反
",79.0
"高雄酒駕累犯毀一家4口 陳其邁探視遭撞姐
",80.0
"12/18之後 亡國感變重了…
",69.0
"高雄酒駕天倫夢碎！館長狠酸「再次震怒
",81.0
"大新竹升格掀攻防　林智堅：我若不參選，
",76.0
"有沒有Epic玩家沒有自己的板的八卦?
",89.0
"請3天休9天！一張圖看「2022請假攻略」
",81.0
"雞排妹不甩黑道搭訕！爆遭50人包圍拖行
",77.0
"酒駕肇事害一家四口破碎 陳其邁震怒指示
",68.0
"柯建銘火大批國民黨「集體中邪」　民眾
",80.0
"明年不是最可怕！唐綺陽曝「魔王級別的顛覆之年」
",79.0
"黃國昌FB
",89.0
"愛女疑遭下藥性侵亡！台中父動私刑　嫌冉
",74.0
"一死三傷又是酒駕毀家庭　市長陳其邁震怒
",70.0
"誰選大新竹 林智堅：不是非我不可
",68.0
"打炒房 林智堅宣布推動囤房稅：擁3戶以上
",69.0
"林智堅回應侯友宜 希望侯市長站在新竹人
",83.0
"反酸國民黨！民進黨：大台中合併升格 也
",76.0
"沒修《地制法》　柯建銘：彰化也不能升格
",76.0
"C++可以啟發孩子的程式天份嗎？
",67.0
"愛女疑遭下藥性侵亡！台中父動私刑　嫌冉
",68.0
"180天終於出桶了(噓就發錢）
",88.0
"鄭家純爆拒大哥搭訕 遭50人包圍拖下車
",76.0
"民進黨：當年大台中合併升格 也沒要求胡不能選
",78.0
"放手一搏！焦糖宣布參選北市議員：讓台灣走更好的國家道路
",71.0
"號稱逢甲林志玲！啦啦隊正妹脫光泡湯　全身剩「木盆遮羞」
",73.0
"學長我這種上站次數 講話可以大聲了吧
",86.0
"勾起你心中的惡－王力宏事件疑點揭密！
",86.0
"丁特橘子事件有沒有懶人包
",91.0
"大新竹不能等！蘇揆：全球想趕上台灣
",74.0
"衛生紙漲價　經長王美花：監看漲幅是否合
",79.0
"丁特橘子事件有沒有懶人包
",76.0
"林昶佐談「罷昶」憂民主恐不紮實　嘆遭
",77.0
"陳其邁為林靜儀站台 爆料她念醫學院時是
",82.0
"林靜儀：若不是國民黨罷掉陳柏惟還搞公
",72.0
"轟柯P砸錢辦「週年慶」吹噓 苗博雅：先
",69.0
"陳佩琪：王力宏壓根沒構成犯罪行為
",67.0
"震驚!有人出來踢爆李靚蕾背後陰謀與目的!
",84.0
"蕾神來了
",67.0
